"BehaviorSpace results (NetLogo 6.0)"
"Fire.nlogo"
"experiment"
"12/13/2017 15:20:10:222 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-125","125","-125","125"
"[run number]","1","1","1","2","2","2","3","3","3","4","4","4","5","5","5","6","6","6","7","7","7","8","8","8","9","9","9"
"density","10",,,"20",,,"30",,,"40",,,"50",,,"60",,,"70",,,"80",,,"90",,
"[reporter]","burned-trees","initial-trees","(burned-trees / initial-trees) * 100","burned-trees","initial-trees","(burned-trees / initial-trees) * 100","burned-trees","initial-trees","(burned-trees / initial-trees) * 100","burned-trees","initial-trees","(burned-trees / initial-trees) * 100","burned-trees","initial-trees","(burned-trees / initial-trees) * 100","burned-trees","initial-trees","(burned-trees / initial-trees) * 100","burned-trees","initial-trees","(burned-trees / initial-trees) * 100","burned-trees","initial-trees","(burned-trees / initial-trees) * 100","burned-trees","initial-trees","(burned-trees / initial-trees) * 100"
"[final]","31","6072","0.5105401844532279","81","12531","0.6463969355997127","164","18889","0.8682301868812535","381","25202","1.5117847789857948","706","31301","2.2555189930034185","26973","37688","71.56919974527702","43114","43874","98.26776678670738","50108","50229","99.7591033068546","56345","56347","99.99645056524749"
"[min]","0","6072","0","0","12531","0","0","18889","0","0","25202","0","0","31301","0","0","37688","0","0","43874","0","0","50229","0","0","56347","0"
"[max]","31","6072","0.5105401844532279","81","12531","0.6463969355997127","164","18889","0.8682301868812535","381","25202","1.5117847789857948","706","31301","2.2555189930034185","26973","37688","71.56919974527702","43114","43874","98.26776678670738","50108","50229","99.7591033068546","56345","56347","99.99645056524749"
"[mean]","28.5625","6072","0.4703969038208167","73.52631578947368","12531","0.5867553729907723","148.2608695652174","18889","0.7849058688401577","325.18518518518516","25202","1.290314995576483","561.5869565217391","31301","1.79415020773055","14720.600596125187","37688","39.05911854204306","22904.2225433526","43874","52.20454607136933","26710.40836012862","50229","53.17726484725678","29666.265017667843","56347","52.649236015524956"
"[steps]","15","15","15","18","18","18","22","22","22","26","26","26","45","45","45","670","670","670","345","345","345","310","310","310","282","282","282"

"[all run data]","burned-trees","initial-trees","(burned-trees / initial-trees) * 100","burned-trees","initial-trees","(burned-trees / initial-trees) * 100","burned-trees","initial-trees","(burned-trees / initial-trees) * 100","burned-trees","initial-trees","(burned-trees / initial-trees) * 100","burned-trees","initial-trees","(burned-trees / initial-trees) * 100","burned-trees","initial-trees","(burned-trees / initial-trees) * 100","burned-trees","initial-trees","(burned-trees / initial-trees) * 100","burned-trees","initial-trees","(burned-trees / initial-trees) * 100","burned-trees","initial-trees","(burned-trees / initial-trees) * 100"
,"0","6072","0","0","12531","0","0","18889","0","0","25202","0","0","31301","0","0","37688","0","0","43874","0","0","50229","0","0","56347","0"
,"25","6072","0.4117259552042161","50","12531","0.3990104540738967","83","18889","0.43940917994600037","115","25202","0.45631299103245776","125","31301","0.3993482636337497","142","37688","0.37677775419231585","168","43874","0.3829147103067876","198","50229","0.3941945887833721","219","56347","0.388663105400465"
,"29","6072","0.4776021080368906","64","12531","0.5107333812145878","112","18889","0.5929376886018318","167","25202","0.6626458217601777","187","31301","0.5974250023960896","231","37688","0.6129271916790491","284","43874","0.6473082007567124","358","50229","0.7127356706285214","413","56347","0.7329582763944842"
,"31","6072","0.5105401844532279","73","12531","0.5825552629478892","133","18889","0.7041135052146752","209","25202","0.8292992619633363","258","31301","0.8242548161400595","328","37688","0.8703035448949268","410","43874","0.9344942334868032","526","50229","1.0472038065659282","616","56347","1.0932259037748238"
,"31","6072","0.5105401844532279","77","12531","0.614476099273801","148","18889","0.7835248027952777","246","25202","0.976113006904214","313","31301","0.9999680521389094","411","37688","1.0905327955848014","528","43874","1.203446232392761","682","50229","1.3577813613649485","815","56347","1.4463946616501322"
,"31","6072","0.5105401844532279","80","12531","0.6384167265182348","156","18889","0.8258774948382657","275","25202","1.0911832394254424","346","31301","1.1053959937382194","480","37688","1.2736149437486732","638","43874","1.4541641974745863","857","50229","1.7061856696330806","1013","56347","1.7977887021491827"
,"31","6072","0.5105401844532279","81","12531","0.6463969355997127","160","18889","0.8470538408597597","302","25202","1.1983175938417585","365","31301","1.1660969298105492","540","37688","1.4328168117172575","749","43874","1.7071614167844282","1035","50229","2.060562623185809","1218","56347","2.1616057642820383"
,"31","6072","0.5105401844532279","81","12531","0.6463969355997127","161","18889","0.8523479273651331","322","25202","1.2776763748908817","385","31301","1.2299926519919493","605","37688","1.6052855020165568","855","43874","1.948762364954187","1204","50229","2.397021640884748","1432","56347","2.5413952828012136"
,"31","6072","0.5105401844532279","81","12531","0.6463969355997127","162","18889","0.8576420138705066","339","25202","1.3451313387826362","404","31301","1.2906935880642791","662","37688","1.756527276586712","961","43874","2.190363313123946","1367","50229","2.7215353680144934","1638","56347","2.906987062310327"
,"31","6072","0.5105401844532279","81","12531","0.6463969355997127","163","18889","0.8629361003758801","358","25202","1.4205221807793034","423","31301","1.351394524136609","721","37688","1.9130757800891531","1062","43874","2.420567990153622","1527","50229","3.040076449859643","1849","56347","3.281452428700729"
,"31","6072","0.5105401844532279","81","12531","0.6463969355997127","164","18889","0.8682301868812535","367","25202","1.4562336322514087","446","31301","1.424874604645219","778","37688","2.0643175546593078","1170","43874","2.6667274467794138","1684","50229","3.352644886420195","2057","56347","3.650593642962358"
,"31","6072","0.5105401844532279","81","12531","0.6463969355997127","164","18889","0.8682301868812535","371","25202","1.4721053884612332","469","31301","1.498354685153829","848","37688","2.250053067289323","1284","43874","2.9265624287733054","1849","50229","3.681140377073006","2269","56347","4.026833726729018"
,"31","6072","0.5105401844532279","81","12531","0.6463969355997127","164","18889","0.8682301868812535","377","25202","1.49591302277597","492","31301","1.5718347656624387","913","37688","2.4225217575886226","1397","43874","3.1841181565391805","2018","50229","4.017599394771945","2488","56347","4.415496832129484"
,"31","6072","0.5105401844532279","81","12531","0.6463969355997127","164","18889","0.8682301868812535","379","25202","1.5038489008808824","513","31301","1.6389252739529088","981","37688","2.602950541286351","1509","43874","3.439394630077039","2184","50229","4.348085767186287","2699","56347","4.789962198519886"
,"31","6072","0.5105401844532279","81","12531","0.6463969355997127","164","18889","0.8682301868812535","381","25202","1.5117847789857948","533","31301","1.7028209961343088","1037","37688","2.751538951390363","1636","43874","3.728859917035146","2342","50229","4.662645085508372","2903","56347","5.152004543276483"
,"31","6072","0.5105401844532279","81","12531","0.6463969355997127","164","18889","0.8682301868812535","381","25202","1.5117847789857948","549","31301","1.753937573879429","1086","37688","2.8815538102313734","1768","43874","4.029721475133337","2511","50229","4.999104103207311","3107","56347","5.51404688803308"
,,,,"81","12531","0.6463969355997127","164","18889","0.8682301868812535","381","25202","1.5117847789857948","561","31301","1.792275007188269","1132","37688","3.0036085756739546","1899","43874","4.328303779003511","2676","50229","5.32759959386012","3322","56347","5.895611123928514"
,,,,"81","12531","0.6463969355997127","164","18889","0.8682301868812535","381","25202","1.5117847789857948","574","31301","1.8338072266061787","1194","37688","3.1681171725748247","2025","43874","4.6154898117336005","2836","50229","5.6461406757052695","3531","56347","6.266527055566401"
,,,,"81","12531","0.6463969355997127","164","18889","0.8682301868812535","381","25202","1.5117847789857948","587","31301","1.8753394460240886","1262","37688","3.3485459562725537","2162","43874","4.927747640971874","2999","50229","5.970654402835016","3736","56347","6.630344117699257"
,,,,,,,"164","18889","0.8682301868812535","381","25202","1.5117847789857948","597","31301","1.9072873071147887","1323","37688","3.510401188707281","2294","43874","5.228609199070064","3163","50229","6.2971590117262926","3949","56347","7.008358918842174"
,,,,,,,"164","18889","0.8682301868812535","381","25202","1.5117847789857948","609","31301","1.9456247404236287","1398","37688","3.709403523668011","2420","43874","5.515795231800155","3321","50229","6.611718330048379","4160","56347","7.3828242852325765"
,,,,,,,"164","18889","0.8682301868812535","381","25202","1.5117847789857948","619","31301","1.9775726015143287","1472","37688","3.905752494162598","2544","43874","5.7984227560742125","3478","50229","6.9242867666089305","4370","56347","7.755514934246721"
,,,,,,,"164","18889","0.8682301868812535","381","25202","1.5117847789857948","626","31301","1.9999361042778188","1532","37688","4.064954362131182","2666","43874","6.076491771892237","3651","50229","7.268709311353999","4578","56347","8.12465614850835"
,,,,,,,,,,"381","25202","1.5117847789857948","635","31301","2.0286891792594486","1582","37688","4.197622585438335","2799","43874","6.379632584218443","3819","50229","7.603177447291405","4784","56347","8.490247928017464"
,,,,,,,,,,"381","25202","1.5117847789857948","643","31301","2.0542474681320084","1632","37688","4.330290808745489","2934","43874","6.687331905000684","3991","50229","7.945609110274941","4990","56347","8.855839707526576"
,,,,,,,,,,"381","25202","1.5117847789857948","648","31301","2.0702213986773588","1681","37688","4.4603056675865","3072","43874","7.001868988466973","4169","50229","8.299986063827669","5194","56347","9.217882052283175"
,,,,,,,,,,"381","25202","1.5117847789857948","654","31301","2.0893901153317787","1730","37688","4.590320526427511","3221","43874","7.341477868441445","4341","50229","8.642417726811205","5396","56347","9.576374962287256"
,,,,,,,,,,,,,"663","31301","2.1181431903134085","1781","37688","4.725642114200807","3371","43874","7.683366002643935","4515","50229","8.988831153317804","5600","56347","9.938417307043853"
,,,,,,,,,,,,,"671","31301","2.1437014791859688","1830","37688","4.8556569730418175","3505","43874","7.9887860691981585","4683","50229","9.323299289255212","5815","56347","10.319981542939287"
,,,,,,,,,,,,,"679","31301","2.169259768058528","1890","37688","5.014858841010401","3639","43874","8.29420613575238","4849","50229","9.653785661669554","6027","56347","10.696221626705947"
,,,,,,,,,,,,,"686","31301","2.1916232708220185","1947","37688","5.1661006155805556","3781","43874","8.617860236130738","5027","50229","10.008162615222282","6244","56347","11.081335297353895"
,,,,,,,,,,,,,"694","31301","2.2171815596945788","2001","37688","5.309382296752282","3924","43874","8.94379359073711","5200","50229","10.352585159967349","6449","56347","11.445152359486752"
,,,,,,,,,,,,,"701","31301","2.239545062458068","2056","37688","5.455317342390151","4068","43874","9.2720061995715","5374","50229","10.69899858647395","6659","56347","11.817843008500896"
