"BehaviorSpace results (NetLogo 6.0)"
"Fire.nlogo"
"experiment"
"12/13/2017 15:20:07:645 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-125","125","-125","125"
"[run number]","density","[step]","burned-trees","initial-trees","(burned-trees / initial-trees) * 100"
"4","40","0","0","25202","0"
"2","20","0","0","12531","0"
"7","70","0","0","43874","0"
"3","30","0","0","18889","0"
"6","60","0","0","37688","0"
"8","80","0","0","50229","0"
"4","40","1","115","25202","0.45631299103245776"
"5","50","0","0","31301","0"
"2","20","1","50","12531","0.3990104540738967"
"3","30","1","83","18889","0.43940917994600037"
"7","70","1","168","43874","0.3829147103067876"
"6","60","1","142","37688","0.37677775419231585"
"2","20","2","64","12531","0.5107333812145878"
"4","40","2","167","25202","0.6626458217601777"
"2","20","3","73","12531","0.5825552629478892"
"3","30","2","112","18889","0.5929376886018318"
"1","10","0","0","6072","0"
"8","80","1","198","50229","0.3941945887833721"
"5","50","1","125","31301","0.3993482636337497"
"3","30","3","133","18889","0.7041135052146752"
"6","60","2","231","37688","0.6129271916790491"
"4","40","3","209","25202","0.8292992619633363"
"2","20","4","77","12531","0.614476099273801"
"7","70","2","284","43874","0.6473082007567124"
"4","40","4","246","25202","0.976113006904214"
"3","30","4","148","18889","0.7835248027952777"
"5","50","2","187","31301","0.5974250023960896"
"4","40","5","275","25202","1.0911832394254424"
"2","20","5","80","12531","0.6384167265182348"
"6","60","3","328","37688","0.8703035448949268"
"4","40","6","302","25202","1.1983175938417585"
"3","30","5","156","18889","0.8258774948382657"
"2","20","6","81","12531","0.6463969355997127"
"5","50","3","258","31301","0.8242548161400595"
"2","20","7","81","12531","0.6463969355997127"
"3","30","6","160","18889","0.8470538408597597"
"4","40","7","322","25202","1.2776763748908817"
"2","20","8","81","12531","0.6463969355997127"
"3","30","7","161","18889","0.8523479273651331"
"2","20","9","81","12531","0.6463969355997127"
"5","50","4","313","31301","0.9999680521389094"
"2","20","10","81","12531","0.6463969355997127"
"6","60","4","411","37688","1.0905327955848014"
"7","70","3","410","43874","0.9344942334868032"
"4","40","8","339","25202","1.3451313387826362"
"2","20","11","81","12531","0.6463969355997127"
"8","80","2","358","50229","0.7127356706285214"
"5","50","5","346","31301","1.1053959937382194"
"4","40","9","358","25202","1.4205221807793034"
"6","60","5","480","37688","1.2736149437486732"
"5","50","6","365","31301","1.1660969298105492"
"2","20","12","81","12531","0.6463969355997127"
"7","70","4","528","43874","1.203446232392761"
"4","40","10","367","25202","1.4562336322514087"
"5","50","7","385","31301","1.2299926519919493"
"2","20","13","81","12531","0.6463969355997127"
"2","20","14","81","12531","0.6463969355997127"
"6","60","6","540","37688","1.4328168117172575"
"2","20","15","81","12531","0.6463969355997127"
"4","40","11","371","25202","1.4721053884612332"
"8","80","3","526","50229","1.0472038065659282"
"5","50","8","404","31301","1.2906935880642791"
"2","20","16","81","12531","0.6463969355997127"
"6","60","7","605","37688","1.6052855020165568"
"7","70","5","638","43874","1.4541641974745863"
"4","40","12","377","25202","1.49591302277597"
"5","50","9","423","31301","1.351394524136609"
"2","20","17","81","12531","0.6463969355997127"
"4","40","13","379","25202","1.5038489008808824"
"6","60","8","662","37688","1.756527276586712"
"2","20","18","81","12531","0.6463969355997127"
"8","80","4","682","50229","1.3577813613649485"
"7","70","6","749","43874","1.7071614167844282"
"5","50","10","446","31301","1.424874604645219"
"4","40","14","381","25202","1.5117847789857948"
"5","50","11","469","31301","1.498354685153829"
"4","40","15","381","25202","1.5117847789857948"
"6","60","9","721","37688","1.9130757800891531"
"4","40","16","381","25202","1.5117847789857948"
"8","80","5","857","50229","1.7061856696330806"
"5","50","12","492","31301","1.5718347656624387"
"7","70","7","855","43874","1.948762364954187"
"6","60","10","778","37688","2.0643175546593078"
"4","40","17","381","25202","1.5117847789857948"
"5","50","13","513","31301","1.6389252739529088"
"4","40","18","381","25202","1.5117847789857948"
"7","70","8","961","43874","2.190363313123946"
"8","80","6","1035","50229","2.060562623185809"
"5","50","14","533","31301","1.7028209961343088"
"4","40","19","381","25202","1.5117847789857948"
"1","10","1","25","6072","0.4117259552042161"
"6","60","11","848","37688","2.250053067289323"
"5","50","15","549","31301","1.753937573879429"
"4","40","20","381","25202","1.5117847789857948"
"8","80","7","1204","50229","2.397021640884748"
"4","40","21","381","25202","1.5117847789857948"
"5","50","16","561","31301","1.792275007188269"
"4","40","22","381","25202","1.5117847789857948"
"5","50","17","574","31301","1.8338072266061787"
"4","40","23","381","25202","1.5117847789857948"
"7","70","9","1062","43874","2.420567990153622"
"6","60","12","913","37688","2.4225217575886226"
"4","40","24","381","25202","1.5117847789857948"
"5","50","18","587","31301","1.8753394460240886"
"7","70","10","1170","43874","2.6667274467794138"
"8","80","8","1367","50229","2.7215353680144934"
"4","40","25","381","25202","1.5117847789857948"
"5","50","19","597","31301","1.9072873071147887"
"6","60","13","981","37688","2.602950541286351"
"4","40","26","381","25202","1.5117847789857948"
"5","50","20","609","31301","1.9456247404236287"
"6","60","14","1037","37688","2.751538951390363"
"7","70","11","1284","43874","2.9265624287733054"
"5","50","21","619","31301","1.9775726015143287"
"8","80","9","1527","50229","3.040076449859643"
"5","50","22","626","31301","1.9999361042778188"
"5","50","23","635","31301","2.0286891792594486"
"5","50","24","643","31301","2.0542474681320084"
"5","50","25","648","31301","2.0702213986773588"
"5","50","26","654","31301","2.0893901153317787"
"7","70","12","1397","43874","3.1841181565391805"
"5","50","27","663","31301","2.1181431903134085"
"8","80","10","1684","50229","3.352644886420195"
"5","50","28","671","31301","2.1437014791859688"
"5","50","29","679","31301","2.169259768058528"
"5","50","30","686","31301","2.1916232708220185"
"5","50","31","694","31301","2.2171815596945788"
"5","50","32","701","31301","2.239545062458068"
"3","30","8","162","18889","0.8576420138705066"
"5","50","33","706","31301","2.2555189930034185"
"5","50","34","706","31301","2.2555189930034185"
"5","50","35","706","31301","2.2555189930034185"
"6","60","15","1086","37688","2.8815538102313734"
"7","70","13","1509","43874","3.439394630077039"
"3","30","9","163","18889","0.8629361003758801"
"1","10","2","29","6072","0.4776021080368906"
"6","60","16","1132","37688","3.0036085756739546"
"3","30","10","164","18889","0.8682301868812535"
"8","80","11","1849","50229","3.681140377073006"
"5","50","36","706","31301","2.2555189930034185"
"7","70","14","1636","43874","3.728859917035146"
"3","30","11","164","18889","0.8682301868812535"
"6","60","17","1194","37688","3.1681171725748247"
"3","30","12","164","18889","0.8682301868812535"
"3","30","13","164","18889","0.8682301868812535"
"3","30","14","164","18889","0.8682301868812535"
"5","50","37","706","31301","2.2555189930034185"
"5","50","38","706","31301","2.2555189930034185"
"3","30","15","164","18889","0.8682301868812535"
"5","50","39","706","31301","2.2555189930034185"
"7","70","15","1768","43874","4.029721475133337"
"3","30","16","164","18889","0.8682301868812535"
"5","50","40","706","31301","2.2555189930034185"
"6","60","18","1262","37688","3.3485459562725537"
"3","30","17","164","18889","0.8682301868812535"
"5","50","41","706","31301","2.2555189930034185"
"3","30","18","164","18889","0.8682301868812535"
"5","50","42","706","31301","2.2555189930034185"
"3","30","19","164","18889","0.8682301868812535"
"3","30","20","164","18889","0.8682301868812535"
"6","60","19","1323","37688","3.510401188707281"
"3","30","21","164","18889","0.8682301868812535"
"5","50","43","706","31301","2.2555189930034185"
"8","80","12","2018","50229","4.017599394771945"
"5","50","44","706","31301","2.2555189930034185"
"3","30","22","164","18889","0.8682301868812535"
"5","50","45","706","31301","2.2555189930034185"
"7","70","16","1899","43874","4.328303779003511"
"6","60","20","1398","37688","3.709403523668011"
"6","60","21","1472","37688","3.905752494162598"
"8","80","13","2184","50229","4.348085767186287"
"7","70","17","2025","43874","4.6154898117336005"
"6","60","22","1532","37688","4.064954362131182"
"6","60","23","1582","37688","4.197622585438335"
"7","70","18","2162","43874","4.927747640971874"
"8","80","14","2342","50229","4.662645085508372"
"6","60","24","1632","37688","4.330290808745489"
"6","60","25","1681","37688","4.4603056675865"
"7","70","19","2294","43874","5.228609199070064"
"6","60","26","1730","37688","4.590320526427511"
"8","80","15","2511","50229","4.999104103207311"
"6","60","27","1781","37688","4.725642114200807"
"6","60","28","1830","37688","4.8556569730418175"
"6","60","29","1890","37688","5.014858841010401"
"8","80","16","2676","50229","5.32759959386012"
"1","10","3","31","6072","0.5105401844532279"
"9","90","0","0","56347","0"
"9","90","1","219","56347","0.388663105400465"
"9","90","2","413","56347","0.7329582763944842"
"9","90","3","616","56347","1.0932259037748238"
"9","90","4","815","56347","1.4463946616501322"
"9","90","5","1013","56347","1.7977887021491827"
"9","90","6","1218","56347","2.1616057642820383"
"9","90","7","1432","56347","2.5413952828012136"
"9","90","8","1638","56347","2.906987062310327"
"9","90","9","1849","56347","3.281452428700729"
"9","90","10","2057","56347","3.650593642962358"
"9","90","11","2269","56347","4.026833726729018"
"9","90","12","2488","56347","4.415496832129484"
"9","90","13","2699","56347","4.789962198519886"
"9","90","14","2903","56347","5.152004543276483"
"9","90","15","3107","56347","5.51404688803308"
"9","90","16","3322","56347","5.895611123928514"
"1","10","4","31","6072","0.5105401844532279"
"7","70","20","2420","43874","5.515795231800155"
"9","90","17","3531","56347","6.266527055566401"
"7","70","21","2544","43874","5.7984227560742125"
"6","60","30","1947","37688","5.1661006155805556"
"9","90","18","3736","56347","6.630344117699257"
"7","70","22","2666","43874","6.076491771892237"
"6","60","31","2001","37688","5.309382296752282"
"8","80","17","2836","50229","5.6461406757052695"
"6","60","32","2056","37688","5.455317342390151"
"7","70","23","2799","43874","6.379632584218443"
"6","60","33","2104","37688","5.582678836765019"
"9","90","19","3949","56347","7.008358918842174"
"6","60","34","2149","37688","5.702080237741456"
"8","80","18","2999","50229","5.970654402835016"
"7","70","24","2934","43874","6.687331905000684"
"6","60","35","2201","37688","5.8400551899808955"
"6","60","36","2246","37688","5.959456590957334"
"7","70","25","3072","43874","7.001868988466973"
"6","60","37","2287","37688","6.0682445340691995"
"6","60","38","2320","37688","6.155805561451921"
"9","90","20","4160","56347","7.3828242852325765"
"7","70","26","3221","43874","7.341477868441445"
"8","80","19","3163","50229","6.2971590117262926"
"6","60","39","2345","37688","6.222139673105498"
"6","60","40","2378","37688","6.309700700488219"
"7","70","27","3371","43874","7.683366002643935"
"6","60","41","2414","37688","6.405221821269369"
"6","60","42","2456","37688","6.516663128847379"
"8","80","20","3321","50229","6.611718330048379"
"7","70","28","3505","43874","7.9887860691981585"
"9","90","21","4370","56347","7.755514934246721"
"8","80","21","3478","50229","6.9242867666089305"
"7","70","29","3639","43874","8.29420613575238"
"9","90","22","4578","56347","8.12465614850835"
"7","70","30","3781","43874","8.617860236130738"
"8","80","22","3651","50229","7.268709311353999"
"9","90","23","4784","56347","8.490247928017464"
"7","70","31","3924","43874","8.94379359073711"
"8","80","23","3819","50229","7.603177447291405"
"9","90","24","4990","56347","8.855839707526576"
"7","70","32","4068","43874","9.2720061995715"
"8","80","24","3991","50229","7.945609110274941"
"7","70","33","4213","43874","9.602498062633906"
"9","90","25","5194","56347","9.217882052283175"
"1","10","5","31","6072","0.5105401844532279"
"8","80","25","4169","50229","8.299986063827669"
"7","70","34","4353","43874","9.92159365455623"
"7","70","35","4504","43874","10.265761042986735"
"9","90","26","5396","56347","9.576374962287256"
"8","80","26","4341","50229","8.642417726811205"
"7","70","36","4659","43874","10.619045448329306"
"8","80","27","4515","50229","8.988831153317804"
"9","90","27","5600","56347","9.938417307043853"
"7","70","37","4816","43874","10.976888362127912"
"8","80","28","4683","50229","9.323299289255212"
"7","70","38","4962","43874","11.309659479418334"
"9","90","28","5815","56347","10.319981542939287"
"7","70","39","5111","43874","11.649268359392808"
"8","80","29","4849","50229","9.653785661669554"
"9","90","29","6027","56347","10.696221626705947"
"7","70","40","5237","43874","11.936454392122897"
"8","80","30","5027","50229","10.008162615222282"
"7","70","41","5370","43874","12.239595204449104"
"9","90","30","6244","56347","11.081335297353895"
"8","80","31","5200","50229","10.352585159967349"
"7","70","42","5518","43874","12.57692483019556"
"9","90","31","6449","56347","11.445152359486752"
"7","70","43","5669","43874","12.921092218626065"
"8","80","32","5374","50229","10.69899858647395"
"7","70","44","5809","43874","13.240187810548388"
"9","90","32","6659","56347","11.817843008500896"
"8","80","33","5551","50229","11.051384658265146"
"7","70","45","5962","43874","13.588913707434926"
"9","90","33","6873","56347","12.197632527020073"
"7","70","46","6104","43874","13.912567807813284"
"7","70","47","6241","43874","14.224825637051557"
"8","80","34","5733","50229","11.413725138864002"
"9","90","34","7088","56347","12.579196762915506"
"7","70","48","6364","43874","14.505173907097598"
"8","80","35","5902","50229","11.750184156562941"
"7","70","49","6478","43874","14.765008889091488"
"9","90","35","7299","56347","12.953662129305906"
"6","60","43","2493","37688","6.6148376140946725"
"8","80","36","6069","50229","12.082661410738817"
"6","60","44","2534","37688","6.723625557206538"
"7","70","50","6613","43874","15.072708209873728"
"6","60","45","2577","37688","6.8377202292506905"
"1","10","6","31","6072","0.5105401844532279"
"6","60","46","2628","37688","6.9730418170239865"
"9","90","36","7503","56347","13.315704474062507"
"6","60","47","2678","37688","7.1057100403311395"
"8","80","37","6239","50229","12.421111310199286"
"7","70","51","6755","43874","15.396362310252085"
"6","60","48","2730","37688","7.24368499257058"
"6","60","49","2779","37688","7.37369985141159"
"7","70","52","6898","43874","15.722295664858457"
"6","60","50","2828","37688","7.5037147102526"
"8","80","38","6398","50229","12.737661510282905"
"6","60","51","2884","37688","7.6523031203566125"
"9","90","37","7713","56347","13.68839512307665"
"6","60","52","2929","37688","7.77170452133305"
"7","70","53","7036","43874","16.03683274832475"
"6","60","53","2974","37688","7.891105922309488"
"8","80","39","6562","50229","13.064166119174182"
"6","60","54","3020","37688","8.01316068775207"
"7","70","54","7170","43874","16.34225281487897"
"6","60","55","3071","37688","8.148482275525366"
"8","80","40","6733","50229","13.404606900396185"
"6","60","56","3125","37688","8.29176395669709"
"6","60","57","3175","37688","8.424432180004246"
"7","70","55","7308","43874","16.656789898345263"
"9","90","38","7920","56347","14.05576161996202"
"6","60","58","3229","37688","8.567713861175971"
"6","60","59","3274","37688","8.687115262152409"
"1","10","7","31","6072","0.5105401844532279"
"8","80","41","6896","50229","13.729120627525932"
"7","70","56","7448","43874","16.975885490267583"
"6","60","60","3318","37688","8.803863298662705"
"6","60","61","3355","37688","8.902037783909998"
"7","70","57","7581","43874","17.279026302593792"
"9","90","39","8127","56347","14.423128116847392"
"8","80","42","7051","50229","14.03770730056342"
"6","60","62","3390","37688","8.994905540225005"
"6","60","63","3424","37688","9.08511993207387"
"7","70","58","7713","43874","17.579887860691983"
"8","80","43","7196","50229","14.326385155985585"
"6","60","64","3461","37688","9.183294417321164"
"9","90","40","8336","56347","14.794044048485278"
"6","60","65","3501","37688","9.289428995966887"
"7","70","59","7841","43874","17.871632401878106"
"6","60","66","3544","37688","9.403523668011038"
"6","60","67","3597","37688","9.54415198471662"
"7","70","60","7964","43874","18.151980671924147"
"9","90","41","8550","56347","15.173833567004454"
"8","80","44","7359","50229","14.650898883115332"
"6","60","68","3642","37688","9.66355338569306"
"6","60","69","3681","37688","9.76703459987264"
"7","70","61","8092","43874","18.44372521311027"
"6","60","70","3724","37688","9.881129271916791"
"8","80","45","7523","50229","14.97740349200661"
"6","60","71","3774","37688","10.013797495223944"
"6","60","72","3832","37688","10.167692634260241"
"9","90","42","8762","56347","15.550073650771115"
"8","80","46","7695","50229","15.319835154990145"
"7","70","62","8223","43874","18.742307516980443"
"6","60","73","3891","37688","10.324241137762682"
"7","70","63","8369","43874","19.075078634270866"
"7","70","64","8513","43874","19.403291243105254"
"8","80","47","7869","50229","15.666248581496745"
"9","90","43","8966","56347","15.912115995527712"
"7","70","65","8645","43874","19.704152801203445"
"7","70","66","8772","43874","19.99361808816155"
"8","80","48","8065","50229","16.05646140675705"
"9","90","44","9174","56347","16.28125720978934"
"9","90","45","9393","56347","16.669920315189806"
"9","90","46","9608","56347","17.051484551085238"
"9","90","47","9823","56347","17.433048786980674"
"9","90","48","10023","56347","17.787992262232237"
"9","90","49","10227","56347","18.15003460698884"
"9","90","50","10428","56347","18.50675279961666"
"9","90","51","10639","56347","18.881218166007063"
"1","10","8","31","6072","0.5105401844532279"
"9","90","52","10849","56347","19.25390881502121"
"9","90","53","11062","56347","19.631923616164126"
"9","90","54","11280","56347","20.018812004188334"
"9","90","55","11494","56347","20.39860152270751"
"9","90","56","11711","56347","20.78371519335546"
"9","90","57","11935","56347","21.181251885637213"
"9","90","58","12157","56347","21.57523914316645"
"9","90","59","12378","56347","21.96745168331943"
"9","90","60","12587","56347","22.33836761495732"
"9","90","61","12803","56347","22.72170656822901"
"9","90","62","13020","56347","23.10682023887696"
"9","90","63","13230","56347","23.479510887891102"
"9","90","64","13443","56347","23.85752568903402"
"9","90","65","13660","56347","24.24263935968197"
"6","60","74","3947","37688","10.472829547866695"
"6","60","75","3997","37688","10.605497771173848"
"9","90","66","13876","56347","24.625978312953663"
"6","60","76","4040","37688","10.719592443218"
"6","60","77","4084","37688","10.836340479728296"
"6","60","78","4125","37688","10.945128422840162"
"6","60","79","4176","37688","11.080450010613458"
"9","90","67","14092","56347","25.009317266225356"
"6","60","80","4235","37688","11.2369985141159"
"6","60","81","4288","37688","11.377626830821482"
"6","60","82","4344","37688","11.526215240925493"
"1","10","9","31","6072","0.5105401844532279"
"6","60","83","4395","37688","11.66153682869879"
"9","90","68","14303","56347","25.383782632615752"
"6","60","84","4440","37688","11.780938229675227"
"6","60","85","4488","37688","11.908299724050094"
"7","70","67","8901","43874","20.287641883575695"
"6","60","86","4543","37688","12.054234769687964"
"6","60","87","4594","37688","12.18955635746126"
"8","80","49","8257","50229","16.438710704971232"
"9","90","69","14517","56347","25.763572151134934"
"6","60","88","4654","37688","12.348758225429846"
"7","70","68","9015","43874","20.547476865569585"
"6","60","89","4722","37688","12.529187009127574"
"6","60","90","4791","37688","12.712269157291445"
"7","70","69","9146","43874","20.84605916943976"
"8","80","50","8432","50229","16.787115013239365"
"6","60","91","4843","37688","12.850244109530884"
"9","90","70","14731","56347","26.14336166965411"
"6","60","92","4901","37688","13.004139248567185"
"7","70","70","9284","43874","21.16059625290605"
"6","60","93","4952","37688","13.139460836340481"
"6","60","94","5000","37688","13.266822330715348"
"6","60","95","5042","37688","13.378263638293356"
"8","80","51","8608","50229","17.137510203269027"
"7","70","71","9418","43874","21.466016319460273"
"6","60","96","5091","37688","13.508278497134366"
"9","90","71","14941","56347","26.516052318668255"
"6","60","97","5140","37688","13.638293355975376"
"7","70","72","9546","43874","21.757760860646396"
"6","60","98","5190","37688","13.770961579282531"
"6","60","99","5238","37688","13.898323073657398"
"6","60","100","5289","37688","14.033644661430694"
"7","70","73","9662","43874","22.022154351096322"
"9","90","72","15151","56347","26.888742967682393"
"6","60","101","5337","37688","14.16100615580556"
"8","80","52","8781","50229","17.481932748014096"
"6","60","102","5389","37688","14.298981108045"
"7","70","74","9777","43874","22.28426858731823"
"6","60","103","5436","37688","14.423689237953724"
"6","60","104","5484","37688","14.551050732328594"
"7","70","75","9903","43874","22.57145462004832"
"9","90","73","15358","56347","27.256109464567768"
"6","60","105","5532","37688","14.678412226703461"
"8","80","53","8955","50229","17.828346174520696"
"6","60","106","5589","37688","14.829654001273616"
"7","70","76","10018","43874","22.83356885627023"
"6","60","107","5643","37688","14.97293568244534"
"6","60","108","5694","37688","15.108257270218637"
"6","60","109","5745","37688","15.243578857991935"
"7","70","77","10140","43874","23.111637872088252"
"8","80","54","9121","50229","18.158832546935038"
"6","60","110","5802","37688","15.394820632562089"
"9","90","74","15570","56347","27.632349548334428"
"6","60","111","5851","37688","15.524835491403099"
